0.006,Cruzeiro/Octogonal/Sudoeste/W3 Sul,3.20,40.49,LOTAXI,CRUZEIRO NOVO,CRUZEIRO NOVO,EPCB - ESTR. PARQ. CONTORNO DO BOSQUE
0.007,SQS 616 (SQS 216-416)/W3 Sul-Esplanada,3.20,26.52,CONDOR,SQS 616,SQS 616,AV. L1 SUL
0.011,Qd. 716 N/Esplanada (Aeroporto - CNB),3.20,64.88,CONDOR,SCRN 716,SCRN 716,VIA LIG. W3 NORTE/PONTE DO BRAGUETO
0.012,Circular Brazlândia (Vila São José-Expansão),1.50,9.62,COOTARDE,BRAZLÂNDIA,BRAZLÂNDIA,VIA SN2 - BRAZLÂNDIA
0.013,Circular Brazlândia (Vila São José-HRB-Expansão),1.50,9.39,COOTARDE,BRAZLÂNDIA,BRAZLÂNDIA,VIA S2 - BRAZLÂNDIA
0.015,Circular Brazlândia (Expansão da Vila São José)/Incra 08 e 06,1.50,39.64,COOTARDE,BRAZLÂNDIA,BRAZLÂNDIA,VIA S2 - BRAZLÂNDIA
0.016,Qd 716 Norte (SQN 212/213)/ Esplanada(SMHS-SCS-SAS),3.20,36.41,'CONDOR,LOTAXI',SCRN 716,SCRN 716,VIA LIG. PONTE DO BRAGUETO/W3 NORTE
0.020,Santa Maria (Av. Santa Maria)/Gama Sul-Central-Oeste-Leste-Rodoviária,1.50,48.35,COOPATAG,SANTA MARIA- (AC.119),SANTA MARIA- (AC.119),VIA CONT. QR 218/318 - SANTA MARIA
0.022,SQS 616 (SQS216-416)/W3 Sul-L2 Norte (SDN)/W3 Norte-L2 Sul (SDN),3.20,46.47,CONDOR,SQS 616,SQS 616,AV. L1 SUL
0.023,SQN 716 (SQN 212-213)/L2 Norte-W3 Sul (SDN)/L2 Sul-W3 Norte (SDN),3.20,45.75,'CONDOR,LOTAXI',SCRN 716,SCRN 716,AV. L1 SUL
0.024,Cruzeiro/Sudoeste/Esplanada (CNB),3.20,42,LOTAXI,CRUZEIRO NOVO,CRUZEIRO NOVO,EPCB - ESTR. PARQ. CONTORNO DO BOSQUE
0.030,Qd. 716 Norte (SQN 212-213)/W3 Norte-Sul / Aeroporto,3.20,51.66,'LOTAXI,CONDOR',SCRN 716,SCRN 716,VIA LIG. W3 NORTE/PONTE DO BRAGUETO
